year,fiscal_side,momentti_tunnusp,momentti_snimi,hallinnonala,actual_eur,has_structural_guardrail,structural_relation_types,source_rows,observed_months,data_as_of,is_complete_year,coverage_status
2007,expense,25.70.21.,Vaalimenot,Oikeusministeriön hallinnonala,15569719.23,true,moved|moved|moved|moved|moved|moved|moved|moved|moved|moved|moved,343,12,2007-12-01,true,complete
2007,expense,26.01.21.,Sisäasiainministeriön toimintamenot,Opetus- ja kulttuuriministeriön hallinnonala,24351886.46,false,,973,12,2007-12-01,true,complete
2007,expense,26.01.22.,Tietohallinnon yhteiset menot,Sisäasiainministeriön hallinnonala,5373119.45,false,,269,12,2007-12-01,true,complete
2007,expense,26.01.23.,Sisäasiainhallinnon palvelukeskuksen toimintamenot,Sisäasiainministeriön hallinnonala,8149204.07,false,,465,12,2007-12-01,true,complete
2007,expense,26.01.24.,KuntaIT:n toimintamenot,Sisäasiainministeriön hallinnonala,1052847.25,false,,182,12,2007-12-01,true,complete
2007,expense,26.01.25.,Öljy- ja kemikaalivahinkojen torjunta,Sisäasiainministeriön hallinnonala,19959,false,,4,12,2007-12-01,true,complete
2007,expense,26.01.29.,Sisäasiainministeriön hallinnonalan arvonlisäveromenot,Kauppa- ja teollisuusministeriön hallinnonala,57393966.92,true,rename|rename|rename|rename|rename,198,12,2007-12-01,true,complete
2007,expense,26.01.43.,Poikkeusolojen viestintäverkot,Sisäasiainministeriön hallinnonala,5500000,false,,5,12,2007-12-01,true,complete
2007,expense,26.02.21.,Ulkomaalaisviraston toimintamenot,Sisäasiainministeriön hallinnonala,12973325.66,false,,610,12,2007-12-01,true,complete
2007,expense,26.05.21.,Lääninhallitusten toimintamenot,Sisäasiainministeriön hallinnonala,53124403.52,false,,1680,12,2007-12-01,true,complete
2007,expense,26.06.21.,Rekisterihallinnon toimintamenot,Sisäasiainministeriön hallinnonala,28456884.62,false,,1282,12,2007-12-01,true,complete
2007,expense,26.07.21.,Kihlakunnanvirastojen toimintamenot,Oikeusministeriön hallinnonala,42803783.71,false,,956,12,2007-12-01,true,complete
2007,expense,26.75.21.,Poliisitoimen toimintamenot,Sisäasiainministeriön hallinnonala,586303714.85,false,,2587,12,2007-12-01,true,complete
2007,expense,26.75.22.,Maasta poistamis- ja noutokuljetuksista aiheutuvat menot,Sisäasiainministeriön hallinnonala,2142849.17,true,moved,171,12,2007-12-01,true,complete
2007,expense,26.80.21.,Pelastustoimen toimintamenot,Kauppa- ja teollisuusministeriön hallinnonala,65690400.37,false,,2307,12,2007-12-01,true,complete
2007,expense,26.80.22.,Erityismenot,Sisäasiainministeriön hallinnonala,2970021.5,true,moved,148,12,2007-12-01,true,complete
2007,expense,26.80.31.,Valtionavustukset,Sisäasiainministeriön hallinnonala,3393335.61,false,,37,12,2007-12-01,true,complete
2007,expense,26.90.21.,Rajavartiolaitoksen toimintamenot,Sisäasiainministeriön hallinnonala,205236372.9,false,,1310,12,2007-12-01,true,complete
2007,expense,26.90.74.,Rakentaminen,Sisäasiainministeriön hallinnonala,207898.55,false,,28,12,2007-12-01,true,complete
2007,expense,26.97.31.,"Kuntien yleinen valtionosuus, verotuloihin perustuvat tasaukset ja siirtymätasaukset",Sisäasiainministeriön hallinnonala,184531606,true,moved,15,12,2007-12-01,true,complete
2007,expense,26.97.32.,Kuntien yhdistymisavustukset ja kuntajako,Sisäasiainministeriön hallinnonala,49179430.85,false,,105,12,2007-12-01,true,complete
2007,expense,26.97.34.,Kuntien harkinnanvarainen rahoitusavustus,Sisäasiainministeriön hallinnonala,21000000,false,,6,12,2007-12-01,true,complete
2007,expense,26.97.35.,Holhoustoimen edunvalvonta,Sisäasiainministeriön hallinnonala,3664310.25,false,,8,12,2007-12-01,true,complete
2007,expense,26.98.43.,Maakunnan kehittämisraha,Sisäasiainministeriön hallinnonala,30574784.48,false,,558,12,2007-12-01,true,complete
2007,expense,26.98.61.,Euroopan aluekehitysrahaston osallistuminen EU:n rakennerahasto-ohjelmiin,Kauppa- ja teollisuusministeriön hallinnonala,121517693.27,false,,4190,12,2007-12-01,true,complete
2007,expense,26.98.62.,EU:n rakennerahastojen valtion rahoitusosuus sisäasiainministeriön osalta,Kauppa- ja teollisuusministeriön hallinnonala,21418211.94,false,,565,12,2007-12-01,true,complete
2007,expense,26.98.63.,Kainuun kehittämisraha,Kauppa- ja teollisuusministeriön hallinnonala,43329895.46,false,,973,12,2007-12-01,true,complete
2007,expense,26.98.64.,Euroopan aluekehitysrahaston osallistuminen EU:n rakennerahasto-ohjelmiin ohjelmakaudella 2007-2013,Kauppa- ja teollisuusministeriön hallinnonala,1243227,false,,7,12,2007-12-01,true,complete
