source_id,institution,year,gdp_volume_change_pct,is_national_official,is_beyond_national_actual,vintage_label,vintage_date,source_url,fetched_at
imf_world_economic_outlook,IMF,2027,1.5,False,True,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2028,1.4,False,True,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2029,1.4,False,True,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2030,1.2,False,True,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
imf_world_economic_outlook,IMF,2031,1.2,False,True,"World Economic Outlook, DataMapper NGDP_RPCH",2026-08-22,https://www.imf.org/external/datamapper/api/v1/NGDP_RPCH/FIN,2026-08-22T20:22:38Z
oecd_economic_outlook,OECD,1961,7.61,False,False,Economic Outlook 119,2026-08-22,"https://sdmx.oecd.org/public/rest/data/OECD.ECO.MAD,DSD_EO@DF_EO/FIN.GDPV_ANNPCT.A",2026-08-22T20:22:38Z
oecd_economic_outlook,OECD,1962,2.98,False,False,Economic Outlook 119,2026-08-22,"https://sdmx.oecd.org/public/rest/data/OECD.ECO.MAD,DSD_EO@DF_EO/FIN.GDPV_ANNPCT.A",2026-08-22T20:22:38Z
oecd_economic_outlook,OECD,1963,3.28,False,False,Economic Outlook 119,2026-08-22,"https://sdmx.oecd.org/public/rest/data/OECD.ECO.MAD,DSD_EO@DF_EO/FIN.GDPV_ANNPCT.A",2026-08-22T20:22:38Z
oecd_economic_outlook,OECD,1964,5.24,False,False,Economic Outlook 119,2026-08-22,"https://sdmx.oecd.org/public/rest/data/OECD.ECO.MAD,DSD_EO@DF_EO/FIN.GDPV_ANNPCT.A",2026-08-22T20:22:38Z
oecd_economic_outlook,OECD,1965,5.3,False,False,Economic Outlook 119,2026-08-22,"https://sdmx.oecd.org/public/rest/data/OECD.ECO.MAD,DSD_EO@DF_EO/FIN.GDPV_ANNPCT.A",2026-08-22T20:22:38Z
oecd_economic_outlook,OECD,1966,2.37,False,False,Economic Outlook 119,2026-08-22,"https://sdmx.oecd.org/public/rest/data/OECD.ECO.MAD,DSD_EO@DF_EO/FIN.GDPV_ANNPCT.A",2026-08-22T20:22:38Z
oecd_economic_outlook,OECD,1967,2.17,False,False,Economic Outlook 119,2026-08-22,"https://sdmx.oecd.org/public/rest/data/OECD.ECO.MAD,DSD_EO@DF_EO/FIN.GDPV_ANNPCT.A",2026-08-22T20:22:38Z
oecd_economic_outlook,OECD,1968,2.3,False,False,Economic Outlook 119,2026-08-22,"https://sdmx.oecd.org/public/rest/data/OECD.ECO.MAD,DSD_EO@DF_EO/FIN.GDPV_ANNPCT.A",2026-08-22T20:22:38Z
