series_id,year,period,value,unit,period_basis,source_id,source_url,source_table_title
central_government_edp_debt_q4_meur,2024,2024Q4,189752.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
central_government_edp_debt_q4_meur,2025,2025Q4,209131.0,MEUR,fourth_quarter_end_stock,statfin_central_government_edp_debt_11yv,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/jyev/11yv.px,"Julkisyhteisöjen EDP-velka, neljännesvuosittain muuttujina Velallissektori, Vara, Vuosineljännes ja Tiedot"
cost_of_living_index_1951_10_100,1998,1998,1435.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,1999,1999,1452.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2000,2000,1501.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2001,2001,1539.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2002,2002,1563.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2003,2003,1577.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2004,2004,1580.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2005,2005,1594.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2006,2006,1622.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2007,2007,1662.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2008,2008,1730.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2009,2009,1730.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2010,2010,1751.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2011,2011,1812.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
cost_of_living_index_1951_10_100,2012,2012,1863.0,INDEX_1951_10_100,calendar_year_average,statfin_cost_of_living_11xm,https://pxdata.stat.fi/PxWeb/api/v1/fi/StatFin/khi/11xm.px,Elinkustannusindeksi (1951:10=100) muuttujina Vuosi ja Tiedot
