metric_id,metric_name_fi,theme,year,value,unit,status,is_latest_available,source_id,source_url,source_updated
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2016,20.5,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2017,20.9,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2018,21.4,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2019,21.8,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2020,22.3,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2021,22.7,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2022,23.1,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2023,23.3,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2024,23.4,PERCENT,,false,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
population_65plus_pct,65 vuotta täyttäneiden osuus väestöstä,demand,2025,23.6,PERCENT,,true,eurostat_demo_pjanind,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_pjanind?geo=FI&indic_de=PC_Y65_MAX,2026-08-14T23:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2008,287.01,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2009,290.9,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2010,302.78,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2011,306.44,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2012,314.04,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2013,318.53,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2014,325.35,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2015,327.47,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2016,330.37,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2017,332.61,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2018,334.75,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2019,338.31,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2020,341.33,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
practising_physicians_per_100k,Potilastyötä tekevät lääkärit,capacity,2021,341.38,PER_100K,,false,eurostat_hlth_rs_prs2,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_rs_prs2?geo=FI&unit=P_HTHAB&wstatus=PRACT&med_spec=PHYS,2026-07-13T11:00:00+0200
